id,CCP,y_pred,prob_true,prob_false,difference,lime
2509564,TRUE,0,0.496,0.504,0.008,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含sample,不包含deprecated,不包含obsole,不包含mirror,不包含Tutorial,不包含fork,不包含collectionof,不包含dot,不包含personal,不包含demo），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含component,不包含inactive,不包含readme_author,不包含app,不包含readme_wiki）。》"
2513208,TRUE,1,0.505,0.495,0.01,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含mirror,不包含fork,不包含collectionof,不包含deprecated,不包含sample,不包含personal,不包含dot,不包含unmaintained,不包含Tutorial,不包含cookbook），其负面解释(也就是预测为非CCP)为（该项目不包含0.00 < is_null,不包含readme_reportbug,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含helper,不包含app,不包含component,不包含library）。》"
283677,FALSE,0,0.494,0.506,0.012,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含dot,不包含collectionof,不包含sample,不包含Tutorial,不包含obsole,不包含fork,不包含mirror,不包含deprecated,不包含personal,不包含demo），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含plugin,不包含server,不包含tool,不包含component,不包含readme_usage,不包含readme_author,不包含app,不包含library,不包含readme_wiki）。》"
2508386,FALSE,1,0.506,0.494,0.012,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含unmaintained,不包含personal,不包含collectionof,不包含sample,不包含fork,不包含dot,不包含deprecated,不包含Tutorial,不包含example,不包含mirror），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,包含test,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含system,不包含app,不包含readme_author,不包含library）。》"
2506688,TRUE,1,0.507,0.493,0.014,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含sample,不包含collectionof,不包含dot,不包含Tutorial,不包含fork,不包含personal,不包含mirror,不包含deprecated,不包含example,不包含clone），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,包含test,不包含inactive,不包含plugin,不包含server,不包含tool,不包含component,不包含readme_usage,不包含app,不包含readme_author）。》"
2511924,TRUE,1,0.507,0.493,0.014,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含obsole,不包含fork,不包含sample,不包含demo,不包含dot,不包含personal,不包含Tutorial,不包含mirror,不包含collectionof,不包含deprecated），其负面解释(也就是预测为非CCP)为（该项目不包含0.00 < is_null,不包含readme_reportbug,不包含plugin,不包含tool,不包含server,不包含readme_usage,不包含component,不包含readme_author,不包含app,不包含readme_wiki）。》"
4809489,TRUE,1,0.507,0.493,0.014,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含deprecated,不包含sample,不包含personal,不包含collectionof,不包含dot,不包含demo,不包含fork,不包含Tutorial,不包含documentation,不包含unmaintained），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含app,不包含system,不包含readme_wiki,不包含readme_author,不包含library）。》"
810510,TRUE,1,0.507,0.493,0.014,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含fork,不包含sample,不包含collectionof,不包含deprecated,不包含dot,不包含obsole,不包含personal,不包含mirror,不包含Tutorial,不包含demo），其负面解释(也就是预测为非CCP)为（该项目不包含inactive,不包含readme_reportbug,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含module,不包含app,不包含component,不包含readme_author）。》"
798623,TRUE,0,0.492,0.508,0.016,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含deprecated,不包含collectionof,不包含sample,不包含fork,不包含dot,不包含personal,不包含Tutorial,不包含demo,不包含mirror,不包含unmaintained），其负面解释(也就是预测为非CCP)为（该项目不包含0.00 < is_null,不包含readme_reportbug,不包含plugin,不包含server,不包含component,不包含readme_usage,不包含tool,不包含readme_wiki,不包含app,不包含library）。》"
909039,FALSE,0,0.492,0.508,0.016,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含sample,不包含mirror,不包含Tutorial,不包含collectionof,不包含deprecated,不包含demo,不包含fork,不包含dot,不包含personal,不包含example），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含plugin,不包含server,不包含readme_usage,不包含component,不包含app,不包含inactive,不包含tool,不包含readme_author,不包含readme_wiki）。》"
2508891,FALSE,0,0.492,0.508,0.016,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含collectionof,不包含unmaintained,不包含personal,不包含mirror,不包含fork,不包含Tutorial,不包含documentation,不包含demo,不包含obsole,不包含dot），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,包含test,不包含plugin,不包含server,不包含readme_usage,不包含tool,不包含component,不包含library,不包含app,不包含readme_author）。》"
2515740,TRUE,0,0.492,0.508,0.016,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含fork,不包含collectionof,不包含sample,不包含obsole,不包含personal,不包含deprecated,不包含mirror,不包含dot,不包含demo,不包含documentation），其负面解释(也就是预测为非CCP)为（该项目不包含longer,不包含readme_reportbug,不包含inactive,不包含plugin,不包含server,包含vim,不包含readme_usage,不包含tool,不包含app,不包含component）。》"
5534128,TRUE,1,0.508,0.492,0.016,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含sample,不包含collectionof,不包含deprecated,不包含unmaintained,不包含demo,不包含personal,不包含mirror,不包含cookbook,不包含Tutorial,不包含obsole），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含app,不包含readme_author,不包含system,不包含readme_install,不包含readme_contact）。》"
2513390,TRUE,0,0.491,0.509,0.018,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含fork,不包含dot,不包含personal,不包含sample,不包含obsole,不包含Tutorial,不包含demo,不包含unmaintained,不包含mirror,不包含collectionof），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,包含practice,不包含plugin,不包含tool,不包含server,不包含component,不包含readme_usage,不包含app,不包含readme_wiki,不包含library）。》"
2507902,TRUE,0,0.49,0.51,0.02,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含deprecated,不包含fork,不包含collectionof,不包含unmaintained,不包含Tutorial,不包含personal,不包含sample,不包含obsole,不包含dot,不包含mirror），其负面解释(也就是预测为非CCP)为（该项目不包含0.00 < is_null,不包含readme_reportbug,不包含plugin,不包含longer,不包含server,不包含tool,不包含readme_usage,不包含app,不包含component,不包含library）。》"
2520840,TRUE,0,0.49,0.51,0.02,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含fork,不包含deprecated,不包含sample,不包含collectionof,不包含Tutorial,不包含personal,不包含dot,不包含demo,不包含documentation,不包含obsole），其负面解释(也就是预测为非CCP)为（该项目不包含0.00 < is_null,不包含readme_reportbug,不包含plugin,不包含server,不包含tool,不包含readme_cookbook,不包含readme_usage,不包含readme_wiki,不包含component,不包含app）。》"
136045,FALSE,1,0.511,0.489,0.022,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含collectionof,不包含sample,不包含mirror,不包含deprecated,不包含fork,不包含personal,不包含dot,不包含example,不包含demo,不包含Tutorial），其负面解释(也就是预测为非CCP)为（该项目不包含0.00 < is_null,不包含readme_reportbug,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含app,不包含system,不包含component,不包含readme_author）。》"
959474,FALSE,0,0.489,0.511,0.022,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含fork,不包含sample,不包含dot,不包含collectionof,不包含personal,不包含Tutorial,不包含mirror,不包含deprecated,不包含obsole,不包含demo），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含0.00 < is_null,不包含plugin,不包含server,不包含tool,不包含inactive,不包含readme_usage,不包含library,不包含readme_author,不包含app）。》"
1149527,FALSE,0,0.489,0.511,0.022,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含dot,不包含collectionof,不包含personal,不包含deprecated,不包含Tutorial,不包含demo,不包含sample,不包含fork,不包含mirror,不包含example），其负面解释(也就是预测为非CCP)为（该项目包含config,不包含readme_reportbug,不包含plugin,不包含server,不包含tool,不包含component,不包含readme_usage,不包含app,不包含readme_author,不包含library）。》"
1757171,TRUE,1,0.511,0.489,0.022,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含sample,不包含collectionof,不包含mirror,不包含fork,不包含personal,不包含Tutorial,不包含obsole,不包含example,不包含dot,不包含demo），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含inactive,包含readme_howtouse,不包含plugin,不包含server,不包含readme_usage,不包含tool,不包含app,不包含library,不包含readme_author）。》"
34947866,TRUE,0,0.489,0.511,0.022,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含unmaintained,不包含sample,不包含dot,不包含personal,不包含mirror,不包含demo,不包含Tutorial,不包含fork,不包含collectionof,不包含clone），其负面解释(也就是预测为非CCP)为（该项目不包含0.00 < is_null,不包含readme_reportbug,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含inactive,不包含app,不包含readme_author,不包含library）。》"
638861,FALSE,1,0.512,0.488,0.024,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含fork,不包含collectionof,不包含deprecated,不包含Tutorial,不包含mirror,不包含personal,不包含dot,不包含sample,不包含demo,不包含obsole），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含0.00 < is_null,不包含inactive,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含component,不包含readme_cookbook,不包含readme_contact）。》"
2995428,FALSE,0,0.488,0.512,0.024,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含deprecated,不包含sample,不包含Tutorial,不包含personal,不包含demo,不包含obsole,不包含mirror,不包含collectionof,不包含dot,不包含fork），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含inactive,不包含plugin,不包含server,不包含readme_author,不包含app,不包含component,不包含readme_usage,不包含helper,不包含tool）。》"
2506376,TRUE,0,0.488,0.512,0.024,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含fork,不包含deprecated,不包含sample,不包含mirror,不包含collectionof,不包含dot,不包含Tutorial,不包含personal,不包含demo,不包含my），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含plugin,不包含server,不包含inactive,不包含tool,不包含readme_usage,不包含app,不包含readme_author,不包含readme_wiki,不包含library）。》"
168190,FALSE,0,0.487,0.513,0.026,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含sample,不包含deprecated,不包含obsole,不包含collectionof,不包含demo,不包含Tutorial,不包含dot,不包含mirror,不包含unmaintained,不包含fork），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含app,不包含readme_author,不包含component,不包含library,不包含readme_wiki）。》"
156359,TRUE,0,0.487,0.513,0.026,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含fork,不包含sample,不包含deprecated,不包含Tutorial,不包含mirror,不包含collectionof,不包含dot,不包含personal,不包含demo,不包含example），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含plugin,不包含server,不包含tool,不包含library,不包含readme_usage,不包含readme_author,不包含component,不包含app,不包含system）。》"
1161585,FALSE,0,0.486,0.514,0.028,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含sample,不包含collectionof,不包含obsole,不包含fork,不包含mirror,不包含demo,不包含dot,不包含unmaintained,不包含personal,不包含Tutorial），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,包含config,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含readme_wiki,不包含readme_author,不包含component,不包含readme_install）。》"
2513694,FALSE,0,0.486,0.514,0.028,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含fork,不包含personal,不包含sample,不包含deprecated,不包含dot,不包含obsole,不包含mirror,不包含Tutorial,不包含collectionof,不包含demo），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含plugin,不包含component,不包含server,不包含tool,不包含readme_usage,不包含readme_wiki,不包含app,不包含readme_author,不包含library）。》"
2517630,TRUE,0,0.486,0.514,0.028,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含collectionof,不包含sample,不包含Tutorial,不包含fork,不包含personal,不包含dot,不包含mirror,不包含example,不包含deprecated,不包含my），其负面解释(也就是预测为非CCP)为（该项目不包含0.00 < is_null,不包含readme_reportbug,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含component,不包含readme_author,不包含readme_wiki,不包含app）。》"
1302379,TRUE,0,0.485,0.515,0.03,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含mirror,不包含fork,不包含personal,不包含sample,不包含deprecated,不包含Tutorial,不包含dot,不包含collectionof,不包含demo,不包含example），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含plugin,不包含component,不包含tool,不包含readme_usage,不包含app,不包含server,不包含readme_install,不包含readme_author,不包含library）。》"
2511384,TRUE,1,0.515,0.485,0.03,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含collectionof,不包含dot,不包含personal,不包含sample,不包含demo,不包含documentation,不包含Tutorial,不包含deprecated,不包含fork,不包含mirror），其负面解释(也就是预测为非CCP)为（该项目不包含0.00 < is_null,不包含readme_reportbug,不包含plugin,不包含server,不包含component,不包含tool,不包含readme_usage,不包含app,不包含readme_wiki,不包含module）。》"
1111241,TRUE,1,0.516,0.484,0.032,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含sample,不包含collectionof,不包含Tutorial,不包含deprecated,不包含personal,不包含obsole,不包含mirror,不包含example,不包含unmaintained,不包含fork），其负面解释(也就是预测为非CCP)为（该项目不包含0.00 < is_null,不包含readme_reportbug,不包含plugin,不包含component,不包含server,不包含tool,不包含readme_usage,不包含library,不包含readme_author,不包含app）。》"
1920843,TRUE,1,0.516,0.484,0.032,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含unmaintained,不包含fork,不包含sample,不包含collectionof,不包含deprecated,不包含mirror,不包含dot,不包含demo,不包含personal,不包含Tutorial），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含0.00 < is_null,不包含plugin,不包含component,不包含server,不包含tool,不包含readme_usage,不包含library,不包含app,不包含readme_author）。》"
2519129,TRUE,1,0.516,0.484,0.032,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含deprecated,不包含sample,不包含dot,不包含personal,不包含Tutorial,不包含unmaintained,不包含mirror,不包含fork,不包含demo,不包含collectionof），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含0.00 < is_null,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含library,不包含component,不包含readme_wiki,不包含app）。》"
2508414,TRUE,1,0.517,0.483,0.034,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含personal,不包含mirror,不包含dot,不包含demo,不包含obsole,不包含sample,不包含collectionof,不包含Tutorial,不包含deprecated,不包含unmaintained），其负面解释(也就是预测为非CCP)为（该项目不包含inactive,不包含readme_reportbug,包含url_dot,不包含component,包含vim,不包含tool,不包含server,不包含readme_usage,不包含app,不包含module）。》"
2511306,TRUE,0,0.483,0.517,0.034,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含obsole,不包含collectionof,不包含mirror,不包含sample,不包含Tutorial,不包含deprecated,不包含demo,不包含personal,不包含fork,不包含example），其负面解释(也就是预测为非CCP)为（该项目不包含inactive,不包含plugin,不包含readme_reportbug,不包含server,不包含component,不包含tool,不包含readme_usage,不包含readme_author,不包含app,不包含readme_wiki）。》"
2513788,TRUE,1,0.517,0.483,0.034,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含collectionof,不包含deprecated,不包含sample,不包含dot,不包含obsole,不包含Tutorial,不包含demo,不包含personal,不包含documentation,不包含fork），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含component,不包含library,不包含app,不包含readme_author,包含listof）。》"
860956,FALSE,0,0.482,0.518,0.036,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含fork,不包含sample,不包含personal,不包含mirror,不包含Tutorial,不包含dot,不包含example,不包含collectionof,不包含deprecated,不包含readme_retired），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含inactive,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含system,不包含library,不包含helper,不包含component）。》"
2516726,FALSE,1,0.518,0.482,0.036,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含sample,不包含mirror,不包含personal,不包含deprecated,不包含Tutorial,不包含abondoned,不包含obsole,不包含collectionof,不包含demo,不包含fork），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含plugin,包含backup,不包含server,不包含tool,不包含readme_usage,不包含app,不包含readme_author,不包含helper,不包含library）。》"
2510121,FALSE,1,0.518,0.482,0.036,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含deprecated,不包含fork,不包含obsole,不包含sample,不包含dot,不包含Tutorial,不包含mirror,不包含collectionof,不包含personal,不包含cookbook），其负面解释(也就是预测为非CCP)为（该项目包含my,包含config,不包含readme_reportbug,不包含plugin,不包含server,不包含tool,不包含component,不包含readme_author,不包含app,不包含readme_contact）。》"
408000,TRUE,0,0.481,0.519,0.038,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含sample,不包含collectionof,不包含personal,不包含obsole,不包含dot,不包含demo,不包含fork,不包含Tutorial,不包含mirror,不包含example），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含plugin,不包含component,不包含server,不包含tool,不包含readme_usage,不包含app,不包含readme_author,不包含module,不包含library）。》"
702156,FALSE,1,0.519,0.481,0.038,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含collectionof,不包含sample,不包含deprecated,不包含Tutorial,不包含fork,不包含dot,不包含demo,不包含personal,不包含mirror,不包含exportedfrom），其负面解释(也就是预测为非CCP)为（该项目不包含inactive,不包含readme_reportbug,包含copy,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含component,不包含library,不包含readme_wiki）。》"
2512451,TRUE,0,0.481,0.519,0.038,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含mirror,不包含unmaintained,不包含fork,不包含personal,不包含sample,不包含deprecated,不包含demo,不包含Tutorial,不包含dot,不包含obsole），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含inactive,不包含plugin,不包含server,包含vim,不包含tool,不包含readme_usage,不包含app,不包含readme_author,不包含component）。》"
2507636,TRUE,1,0.52,0.48,0.04,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含collectionof,不包含obsole,不包含personal,不包含demo,不包含Tutorial,不包含mirror,不包含deprecated,不包含fork,不包含dot,不包含sample），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含0.00 < is_null,不包含plugin,不包含inactive,不包含server,不包含tool,不包含readme_usage,不包含app,不包含component,不包含system）。》"
2514621,TRUE,1,0.52,0.48,0.04,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含obsole,不包含sample,不包含collectionof,不包含mirror,不包含dot,不包含personal,不包含demo,不包含Tutorial,不包含example,不包含cookbook），其负面解释(也就是预测为非CCP)为（该项目不包含0.00 < is_null,不包含readme_reportbug,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含system,不包含inactive,不包含component,不包含app）。》"
2514173,FALSE,1,0.52,0.48,0.04,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含unmaintained,不包含mirror,不包含collectionof,不包含dot,不包含personal,不包含deprecated,不包含Tutorial,不包含fork,不包含sample,不包含demo），其负面解释(也就是预测为非CCP)为（该项目不包含0.00 < is_null,不包含readme_reportbug,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含readme_wiki,不包含app,不包含component,不包含module）。》"
43684,FALSE,0,0.479,0.521,0.042,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含deprecated,不包含sample,不包含Tutorial,不包含collectionof,不包含obsole,不包含mirror,不包含example,不包含documentation,不包含personal,不包含fork），其负面解释(也就是预测为非CCP)为（该项目包含demo,不包含readme_reportbug,不包含plugin,不包含server,不包含component,不包含readme_usage,不包含app,不包含inactive,不包含readme_author,不包含tool）。》"
2557967,TRUE,0,0.479,0.521,0.042,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含obsole,不包含sample,不包含collectionof,不包含demo,不包含mirror,不包含Tutorial,不包含dot,不包含clone,不包含fork,不包含unmaintained），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,不包含0.00 < is_null,不包含plugin,不包含server,不包含tool,不包含readme_usage,不包含readme_author,不包含app,不包含readme_wiki,不包含library）。》"
44753,TRUE,1,0.521,0.479,0.042,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含deprecated,不包含collectionof,不包含fork,不包含sample,不包含Tutorial,不包含personal,不包含dot,不包含mirror,不包含obsole,不包含demo），其负面解释(也就是预测为非CCP)为（该项目不包含readme_reportbug,包含config,不包含plugin,不包含server,不包含component,不包含readme_usage,不包含app,不包含inactive,不包含readme_author,不包含module）。》"
2510912,TRUE,0,0.478,0.522,0.044,"《现在有个项目被模型预测，其正面(也就是预测为CCP)解释为（该项目不包含fork,不包含dot,不包含collectionof,不包含obsole,不包含personal,不包含Tutorial,不包含sample,不包含demo,不包含deprecated,不包含mirror），其负面解释(也就是预测为非CCP)为（该项目不包含0.00 < is_null,不包含readme_reportbug,不包含plugin,不包含server,不包含component,不包含helper,不包含tool,不包含readme_usage,不包含app,不包含system）。》"
